ID,line,fit,viatech,viano,pins,layno,sq,dens,dbl,netno,comp,category,ver,complexity,scope,type,duration,level
244487,ced,bb,tht,284,140,2,38.57,3.857,sgl,40,2,FP,B0,Low,NEW BRD,FF,113,5
138028,tgr,bb,tht,631,94,3,26.28,3.914,dbl,28,3,FP,B0,Low,NEW BRD,FF,51,5
283666,sqa,bb,tht,128,87,2,24.47,3.937,dbl,23,7,FP,B0,Low,NEW BRD,FF,21,4
53961,nq,sns,tht,1123,174,2,48.96,3.939,dbl,25,74,RG,D0,Low,MOD-MINOR,FF,26,5
97601,bisp,mlb,cor-astk,14314,2973,8,895.9,4.219,dbl,691,961,RG,B0,Medium,NEW BRD,FF,124,5
254338,tgr,bb,tht,228,56,2,16.91,4.228,sgl,17,2,FP,E0,Low,MOD-MINOR,FF,17,5
182855,tgr,bb,tht,231,56,3,16.99,4.24,sgl,17,2,FP,R2,Medium,MOD-MINOR,FF,32,5
171269,udb,bb,tht,177,100,2,31.13,4.359,dbl,59,18,FP,B0,Low,MOD-MINOR,PLT,33,4
306078,ced,bb,tht,5,20,2,6.30,4.411,sgl,10,2,FP,B0,Low,NEW BRD,FF,43,5
48775,udb,bb,tht,272,135,2,44.14,4.577,dbl,59,51,FP,B1,Medium,MOD-MINOR,PLT,15,4
46405,lcy,db,tht,93,23,2,7.89,4.801,sgl,5,10,RG,M00,Medium,NEW BRD,FF,44,5
48326,ele,sns,tht,138,23,2,7.99,4.862,sgl,5,10,RG,D0,Low,MOD-MINOR,FF,4,5
267238,npd,db,tht,1159,91,3,31.69,4.875,dbl,33,2,FP,B0,Low,NEW BRD,PLT,30,3
200174,bis,bb,tht,64,70,3,25.25,5.04,dbl,18,2,FP,B0,Low,NEW BRD,PLT,39,3
308571,tsk,sns,cor_stk,582,24,3,8.73,5.090,dbl,7,2,FP,M0,Medium,NEW BRD,FF,36,4
175036,npio,mlb,tht,3637,2772,6,1022.98,5.167,dbl,794,489,RG,B1,Medium,MOD-MAJOR,PLT,127,3
131424,npio,mlb,tht,3607,2763,6,1022.98,5.183,dbl,794,485,RG,B0,Medium,NEW BRD,PLT,88,5
168132,tgr,bb,tht,408,56,3,20.80,5.201,sgl,18,2,FP,B1,Medium,NEW BRD,FF,37,5
308573,tsk,sns,tht,531,16,2,6.25,5.467,sgl,4,4,FP,M0,Medium,NEW BRD,FF,36,5
308572,tsk,sns,tht,541,16,2,6.35,5.553,sgl,4,4,FP,M0,Medium,NEW BRD,FF,36,5
68135,udb,bb,tht,198,102,2,40.66,5.581,dbl,59,18,FP,M00,Medium,NEW BRD,PLT,19,4
261257,tgr,bb,tht,585,140,2,57.92,5.792,sgl,40,2,FP,E0,Medium,MOD-MINOR,FF,20,5
182854,tgr,bb,tht,552,140,2,57.92,5.792,sgl,40,2,FP,R2,Medium,MOD-MAJOR,FF,37,5
306339,tgr,bb,tht,581,140,2,57.92,5.792,sgl,40,2,FP,E2,Low,MOD-MINOR,FF,38,5
168129,tgr,bb,tht,646,140,2,58.07,5.807,sgl,38,2,FP,B1,Medium,NEW BRD,FF,127,5
145283,rtf,bb,tht,1158,129,3,55.12,5.98,sgl,31,3,FP,B0,Low,NEW BRD,FF,44,5
137994,ctr,bb,tht,1158,129,3,55.12,5.98,sgl,31,3,FP,B0,Low,NEW BRD,FF,70,5
229826,ced,db,tht,18,88,3,42.16,6.707,sgl,25,2,FP,B0,High,NEW BRD,FF,124,3
299437,jbr,bb,tht,2,8,2,4.75,8.313,sgl,3,3,FP,M00,Medium,NEW BRD,FF,40,4
168765,ctr,bb,tht,137,18,2,11.05,8.593,dbl,4,11,FP,B1,Low,NEW BRD,FF,36,5
71772,udb,bb,tht,140,20,2,12.29,8.604,sgl,6,2,FP,M00,Low,NEW BRD,PLT,17,4
49990,lep,db,tht,202,115,4,70.85,8.626,sgl,38,32,RG,B0,Low,NEW BRD,FF,20,5
283586,npd,db,tht,588,106,4,73.08,9.652,sgl,17,18,RG,B0,Low,NEW BRD,PLT,11,4
143695,npd,bb,tht,2423,86,2,63.70,10.371,sgl,26,2,FP,B0,Low,NEW BRD,PLT,17,5
168766,tgr,bb,tht,167,18,2,14.42,11.21,dbl,4,11,FP,B1,Low,MOD-MINOR,FF,36,5
182859,tgr,bb,tht,264,18,2,14.58,11.34,dbl,4,11,FP,R2,Low,MOD-MINOR,FF,53,5
254436,tgr,bb,tht,264,18,2,14.58,11.342,dbl,4,11,FP,E0,Medium,MOD-MINOR,FF,26,5
207454,src,db,tht,1065,32,2,145.78,10.77,dbl,17,9,RG,DE,Low,NEW BRD,TSB,3,5
190540,src,db,tht,1008,32,2,145.78,10.777,dbl,17,9,RG,R2,Low,NEW BRD,TSB,4,5
